Date,Open,High,Low,Close,Adj Close,Volume
2020-09-01,191.100006,192.350006,188.250000,190.199997,185.796204,39779151
2020-09-02,191.300003,193.000000,189.649994,191.350006,186.919586,20585374
2020-09-03,191.399994,193.250000,190.000000,191.600006,187.163803,15691462
2020-09-04,190.000000,190.000000,185.699997,186.699997,182.377243,41389019
2020-09-07,187.250000,190.500000,180.800003,189.100006,184.721680,32660563
2020-09-08,189.600006,190.550003,184.600006,188.149994,183.793671,25589032
2020-09-09,185.500000,186.250000,182.300003,183.800003,179.544388,27829564
2020-09-10,184.100006,185.699997,183.199997,184.899994,180.618912,17784303
2020-09-11,184.899994,186.500000,182.750000,183.949997,179.690918,19255948
2020-09-14,185.800003,185.850006,183.000000,183.350006,179.104813,30992032
2020-09-15,184.000000,184.199997,180.800003,181.800003,177.590698,30771790
2020-09-16,181.850006,183.500000,180.050003,180.649994,176.467316,50641398
2020-09-17,180.800003,181.500000,177.800003,178.600006,174.464798,33933262
2020-09-18,179.550003,179.850006,177.000000,179.100006,174.953217,29782789
2020-09-21,180.000000,180.600006,175.050003,175.750000,171.680771,23891325
2020-09-22,175.750000,176.750000,173.750000,174.199997,170.166656,18529108
2020-09-23,174.949997,177.550003,171.699997,172.500000,168.506027,61785000
2020-09-24,171.699997,171.750000,166.149994,166.550003,162.693787,31486355
2020-09-25,168.899994,171.199997,167.000000,170.750000,166.796539,26625318
2020-09-28,171.000000,174.800003,170.500000,173.300003,169.287506,23194638
2020-09-29,174.750000,174.750000,169.000000,169.399994,165.477798,25615786
2020-09-30,170.000000,172.100006,168.699997,171.699997,167.724548,18481590
2020-10-01,174.500000,174.600006,170.100006,170.850006,166.894226,19756417
2020-10-05,171.100006,172.800003,168.750000,169.250000,165.331268,24298942
2020-10-06,169.500000,171.600006,168.100006,169.899994,165.966217,21885190
2020-10-07,170.000000,170.899994,169.000000,169.500000,165.575485,16286540
2020-10-08,170.100006,170.399994,166.899994,167.149994,163.279892,25502126
2020-10-09,167.500000,168.899994,166.350006,167.850006,163.963699,22373277
2020-10-12,170.500000,175.199997,170.000000,172.199997,168.212967,66250422
2020-10-13,172.850006,174.850006,169.500000,170.149994,166.210434,35684395
2020-10-14,170.550003,171.000000,167.050003,167.800003,163.914856,38216229
2020-10-15,167.699997,167.800003,164.550003,165.050003,161.228516,27116799
2020-10-16,165.500000,166.800003,163.800003,165.699997,161.863464,20227056
2020-10-19,166.800003,168.899994,166.149994,168.250000,164.354431,19016521
2020-10-20,168.000000,168.300003,166.699997,167.449997,163.572952,16148741
2020-10-21,168.149994,168.899994,166.600006,167.649994,163.768311,16478833
2020-10-22,167.550003,169.100006,167.000000,168.550003,164.647476,22044107
2020-10-23,168.949997,171.000000,167.750000,170.750000,166.796539,20145584
2020-10-26,171.500000,171.600006,168.250000,168.550003,164.647476,16080575
2020-10-27,168.500000,169.300003,166.750000,167.199997,163.328735,45885092
2020-10-28,168.500000,168.500000,165.000000,165.500000,161.668091,16820774
2020-10-29,165.000000,165.949997,163.449997,163.850006,160.056305,21007139
2020-10-30,164.000000,166.800003,163.350006,165.250000,161.423889,16347325
2020-11-02,166.800003,167.199997,164.449997,166.750000,162.889160,14370649
2020-11-03,167.199997,170.750000,167.100006,170.100006,166.161606,22602903
2020-11-04,170.050003,171.800003,168.199997,169.800003,165.868546,18808819
2020-11-05,171.250000,175.000000,170.199997,174.750000,170.703934,26997641
2020-11-06,176.500000,177.199997,173.399994,173.949997,169.922455,34252005
2020-11-09,173.949997,177.300003,171.850006,172.800003,168.799088,35286484
2020-11-10,175.000000,179.550003,171.850006,178.350006,174.220581,57459436
2020-11-11,179.600006,185.899994,178.600006,185.300003,181.009659,63318644
2020-11-12,185.199997,188.750000,183.850006,188.000000,183.647141,46367792
2020-11-13,187.199997,188.800003,185.550003,187.100006,182.767990,28198725
2020-11-14,null,null,null,null,null,null
2020-11-17,189.000000,189.399994,186.399994,187.350006,183.012207,20950589
2020-11-18,186.800003,188.449997,182.750000,184.050003,179.788605,26595992
2020-11-19,182.800003,191.800003,182.699997,187.899994,183.549454,48984610
2020-11-20,188.800003,192.000000,186.050003,191.699997,187.261475,45307312
2020-11-23,192.000000,192.500000,188.649994,190.850006,186.431168,23180456
2020-11-24,190.600006,196.449997,190.600006,195.550003,191.022339,45411815
2020-11-25,196.000000,197.949997,192.500000,193.850006,189.361710,41659179
2020-11-26,195.100006,195.850006,192.550003,194.800003,190.289703,24222956
2020-11-27,194.449997,195.750000,193.199997,193.649994,189.166321,31385396
2020-12-01,195.000000,196.350006,192.399994,194.399994,189.898956,15893346
2020-12-02,195.000000,198.750000,193.550003,195.949997,191.413071,28425948
2020-12-03,197.199997,197.199997,194.550003,196.199997,191.657288,28009042
2020-12-04,196.850006,199.350006,196.500000,198.199997,193.610977,22152332
2020-12-07,198.199997,203.750000,197.600006,203.149994,198.446365,35693450
2020-12-08,203.899994,204.699997,199.550003,202.449997,197.762573,30853963
2020-12-09,205.000000,207.800003,204.649994,205.399994,200.644272,39684395
2020-12-10,206.649994,213.649994,203.149994,212.699997,207.775253,65227495
2020-12-11,214.449997,217.949997,213.350006,216.300003,211.291901,60322445
2020-12-14,217.949997,218.600006,215.000000,215.899994,210.901154,26990063
