Date,Open,High,Low,Close,Adj Close,Volume
2006-08-28,130.250000,142.250000,125.500000,138.562500,115.577919,60664652
2006-08-29,138.750000,140.975006,133.887497,134.824997,112.460388,15716452
2006-08-30,134.250000,135.725006,130.375000,132.024994,110.124855,8139932
2006-08-31,131.250000,136.000000,128.750000,134.612503,112.283150,6683960
2006-09-01,134.750000,137.250000,133.774994,135.462494,112.992142,4704780
2006-09-04,135.500000,137.250000,113.199997,135.987503,113.430054,2999152
2006-09-05,136.000000,139.000000,134.625000,138.175003,115.254730,3824532
2006-09-06,138.675003,140.625000,134.500000,135.312500,112.867027,3830444
2006-09-07,136.250000,136.250000,132.500000,134.324997,112.043327,1404644
2006-09-08,134.699997,136.225006,132.887497,133.699997,111.522018,1078636
2006-09-11,134.987503,136.250000,133.062500,133.987503,111.761826,1681864
2006-09-12,133.987503,136.712494,133.500000,134.462494,112.158028,2056784
2006-09-13,135.250000,137.250000,135.250000,136.175003,113.586441,1607788
2006-09-14,136.300003,139.375000,136.274994,137.462494,114.660370,2138440
2006-09-15,137.537506,138.500000,134.750000,135.050003,112.648079,839132
2006-09-18,136.000000,140.500000,136.000000,136.625000,113.961800,897504
2006-09-19,137.012497,155.962494,136.625000,146.062500,121.833839,19172256
2006-09-20,144.949997,153.475006,143.312500,151.262497,126.171265,9057312
2006-09-21,144.250000,156.750000,144.250000,152.237503,126.984535,7104400
2006-09-22,156.250000,156.250000,148.312500,150.287506,125.358002,2906004
2006-09-25,148.812500,152.925003,147.512497,148.387497,123.773178,2542148
2006-09-26,149.949997,156.500000,148.500000,154.399994,128.788300,6943500
2006-09-27,154.875000,157.949997,154.074997,154.862503,129.174088,4061248
2006-09-28,156.175003,156.175003,152.037506,153.250000,127.829102,1210420
2006-09-29,153.750000,157.500000,152.500000,154.600006,128.955124,2381504
2006-10-03,154.750000,158.962494,153.750000,154.850006,129.163696,3202624
2006-10-04,155.399994,156.000000,152.500000,153.425003,127.975052,1202696
2006-10-05,155.300003,157.000000,154.750000,156.037506,130.154221,857264
2006-10-06,157.250000,159.987503,154.537506,155.324997,129.559860,2473768
2006-10-09,154.500000,156.225006,152.500000,153.512497,128.048035,961312
2006-10-10,155.000000,156.199997,152.587494,153.962494,128.423340,840552
2006-10-11,155.000000,163.449997,155.000000,157.487503,131.363663,7770292
2006-10-12,158.625000,159.274994,155.250000,157.425003,131.311539,2884688
2006-10-13,158.774994,173.225006,158.774994,170.487503,142.207245,10084532
2006-10-16,172.062500,179.500000,172.062500,177.612503,148.150345,7437840
2006-10-17,178.500000,179.250000,175.062500,176.125000,146.909607,3306924
2006-10-18,177.500000,178.750000,170.000000,171.012497,142.645142,3019184
2006-10-19,175.000000,198.000000,175.000000,193.175003,161.131332,18835652
2006-10-20,194.750000,225.000000,194.000000,215.837494,180.034607,21011380
2006-10-23,239.000000,247.237503,220.250000,224.537506,187.291519,16687696
2006-10-26,225.000000,231.500000,223.087494,229.662506,191.566376,10700288
2006-10-27,230.324997,253.500000,230.324997,250.237503,208.728424,17816692
2006-10-30,252.500000,261.950012,246.250000,251.637497,209.896194,12570116
2006-10-31,252.000000,256.250000,239.149994,247.425003,206.382431,8952160
2006-11-01,250.250000,256.000000,245.649994,252.312500,210.459213,7815152
2006-11-02,252.000000,254.662506,248.787506,250.625000,209.051620,4379712
2006-11-03,251.000000,251.250000,246.250000,248.000000,206.862091,2850172
2006-11-06,250.000000,255.250000,245.750000,249.574997,208.175797,3482952
2006-11-07,253.425003,253.600006,246.812500,247.737503,206.643127,2035924
2006-11-08,249.649994,251.250000,242.250000,247.675003,206.590973,3295280
2006-11-09,250.500000,250.699997,245.500000,246.899994,205.944504,1888468
2006-11-10,248.600006,257.750000,243.750000,249.837494,208.394745,5312484
2006-11-13,250.000000,254.212494,248.625000,251.437500,209.729340,2536604
2006-11-14,252.500000,253.750000,247.787506,249.037506,207.727463,2367328
2006-11-15,250.000000,272.450012,249.375000,268.399994,223.878128,10842812
2006-11-16,268.762512,291.649994,265.549988,288.237488,240.425034,16836432
2006-11-17,290.000000,294.424988,274.500000,278.774994,232.532150,8229376
2006-11-20,275.000000,287.200012,265.100006,284.774994,237.536896,7255332
2006-11-21,282.662506,302.424988,282.662506,295.587494,246.555786,7310604
2006-11-22,296.750000,299.937500,292.125000,293.625000,244.918884,3415848
2006-11-23,296.250000,296.250000,285.049988,287.424988,239.747269,2498644
2006-11-24,275.262512,295.549988,275.262512,285.225006,237.912231,3247380
2006-11-27,285.899994,287.487488,279.174988,281.762512,235.024109,1628732
2006-11-28,279.987488,288.000000,268.825012,279.075012,232.782410,3116228
2006-11-29,281.250000,287.250000,279.299988,281.225006,234.575729,1654736
2006-11-30,282.674988,284.250000,278.024994,280.625000,234.075287,974100
2006-12-01,282.500000,286.625000,278.274994,280.062500,233.606064,1191888
2006-12-04,281.250000,284.424988,277.549988,278.187500,232.042084,1164244
2006-12-05,278.375000,294.174988,276.250000,291.625000,243.250595,4355516
2006-12-06,293.750000,298.000000,281.575012,284.062500,236.942581,4025108
2006-12-07,283.750000,292.625000,281.312500,284.987488,237.714096,3723552
2006-12-08,287.500000,287.500000,280.549988,281.424988,234.742599,1497532
2006-12-11,284.674988,286.500000,268.524994,274.000000,228.549210,2571276
2006-12-12,275.000000,280.500000,253.500000,260.437500,217.236450,3110364
2006-12-13,261.500000,273.450012,252.524994,270.174988,225.358658,1982848
2006-12-14,272.750000,283.424988,270.750000,277.350006,231.343521,2178500
2006-12-15,279.000000,285.424988,260.000000,282.674988,235.785187,1635840
2006-12-18,285.600006,301.000000,280.075012,298.637512,249.099869,5219292
2006-12-19,300.000000,305.000000,285.649994,288.575012,240.706528,6729012
2006-12-20,292.500000,321.250000,287.762512,310.750000,259.203125,11956348
2006-12-21,312.500000,372.899994,312.500000,372.899994,311.043823,15146256
2006-12-22,377.500000,437.174988,377.500000,413.875000,345.221924,20895484
2006-12-26,412.487488,430.000000,412.487488,417.149994,347.953674,6855504
2006-12-27,422.500000,424.000000,410.325012,412.049988,343.699615,3575472
2006-12-28,414.437500,430.500000,400.000000,423.687500,353.406738,11967428
2006-12-29,423.750000,433.250000,412.750000,418.137512,348.777374,5411044
2007-01-02,420.799988,429.000000,416.250000,417.337494,348.110046,4740064
2007-01-03,418.500000,421.512512,414.125000,416.024994,347.015259,2247252
2007-01-04,418.250000,426.250000,408.750000,410.412506,342.333740,4100492
2007-01-05,411.875000,419.750000,408.825012,410.799988,342.656982,2579764
2007-01-08,415.000000,428.500000,412.500000,419.487488,349.903381,5459340
2007-01-09,421.250000,423.500000,408.750000,411.962494,343.626709,2600788
2007-01-10,411.774994,426.250000,408.975006,421.887512,351.905304,4744576
2007-01-11,425.250000,448.424988,418.500000,444.825012,371.037964,9391396
2007-01-12,449.250000,468.000000,449.250000,461.487488,384.936493,8227948
2007-01-15,474.500000,474.500000,462.587494,466.899994,389.451233,3058548
2007-01-16,470.000000,471.674988,447.575012,450.912506,376.115723,3540304
2007-01-17,461.100006,499.750000,452.500000,495.200012,413.056793,16050504
2007-01-18,502.750000,512.000000,462.799988,474.637512,395.905212,14094072
2007-01-19,481.274994,485.000000,441.325012,444.149994,370.474976,12325108
2007-01-22,447.000000,456.250000,431.274994,440.537506,367.461670,10062700
2007-01-23,440.537506,449.725006,433.737488,436.850006,364.385895,5518488
2007-01-24,472.500000,472.500000,437.812500,442.850006,369.390594,2782500
2007-01-25,445.000000,457.500000,444.500000,448.250000,373.894897,5086700
2007-01-29,452.500000,452.737488,436.412506,437.987488,365.334686,2466604
2007-01-31,443.662506,445.000000,432.674988,435.787506,363.499573,2301736
2007-02-01,437.500000,451.250000,435.000000,448.424988,374.040833,3664052
2007-02-02,451.250000,456.000000,445.875000,448.462494,374.072113,2710264
2007-02-05,448.750000,449.250000,440.125000,441.462494,368.233246,1382504
