Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,10.762500,11.000000,10.762500,10.925000,5.136891,44000
1996-01-02,10.925000,11.026250,10.825000,10.901250,5.125722,34000
1996-01-03,10.901250,11.000000,10.900000,11.000000,5.172154,16000
1996-01-04,10.750000,10.875000,10.750000,10.750000,5.054606,24000
1996-01-05,10.500000,10.750000,10.500000,10.687500,5.025218,10000
1996-01-08,10.625000,10.625000,10.400000,10.400000,4.890037,10000
1996-01-09,10.428750,10.437500,10.401250,10.401250,4.890625,24000
1996-01-10,10.425000,10.425000,10.425000,10.425000,4.901793,2000
1996-01-11,10.275000,10.282500,10.275000,10.282500,4.834789,4000
1996-01-12,10.282500,10.327500,10.250000,10.251250,4.820095,38000
1996-01-15,10.251250,10.343750,10.287500,10.288750,4.837729,12000
1996-01-16,10.128750,10.153750,10.128750,10.153750,4.774252,6000
1996-01-17,10.063750,10.076250,10.063750,10.076250,4.737812,10000
1996-01-18,9.875000,9.950000,9.637500,9.637500,4.531513,10000
1996-01-19,9.637500,9.637500,9.637500,9.637500,4.531513,0
1996-01-22,9.637500,9.875000,9.625000,9.832500,4.623202,16000
1996-01-23,9.832500,9.850000,9.776250,9.776250,4.596752,8000
1996-01-24,9.750000,9.875000,9.750000,9.825000,4.619676,12000
1996-01-25,9.750000,9.825000,9.750000,9.775000,4.596166,16000
1996-01-26,9.775000,9.775000,9.775000,9.775000,4.596166,0
1996-01-29,9.775000,9.675000,9.550000,9.550000,4.490370,14000
1996-01-30,9.550000,9.875000,9.626250,9.626250,4.526224,6000
1996-01-31,9.626250,9.626250,9.626250,9.626250,4.526224,0
1996-02-01,9.875000,9.875000,9.625000,9.625000,4.525636,4000
1996-02-02,9.625000,9.700000,9.625000,9.700000,4.560902,14000
1996-02-05,9.812500,9.812500,9.750000,9.750000,4.584410,4000
1996-02-06,9.750000,9.812500,9.675000,9.812500,4.613799,12000
1996-02-07,9.751250,9.751250,9.750000,9.750000,4.584410,8000
1996-02-08,9.750000,9.750000,9.750000,9.750000,4.584410,0
1996-02-09,9.750000,10.125000,9.700000,9.700000,4.560902,46000
1996-02-12,9.700000,9.750000,9.750000,9.750000,4.584410,2000
